Ticker,Company,Group,α (ARCH),β (GARCH),Persistence (α+β),Half-Life (days),Ljung-Box p (resid),Ljung-Box p (resid²),AIC
ACIW,"ACI Worldwide, Inc.",software,0.132,0.729,0.861,4.6,0.682,0.998,6486.504
ADBE,Adobe Inc.,software,0.118,0.805,0.923,8.7,0.415,0.971,6436.08
ADP,"Automatic Data Processing, Inc.",software,0.086,0.883,0.969,22.2,0.033,0.987,5127.246
ADSK,"Autodesk, Inc.",software,0.101,0.86,0.961,17.3,0.289,0.986,6444.737
AKAM,"Akamai Technologies, Inc.",software,0.126,0.81,0.936,10.5,0.783,1.0,5682.291
APPF,"AppFolio, Inc.",software,0.104,0.796,0.901,6.6,0.54,0.996,7030.385
BOX,"Box, Inc.",software,0.134,0.789,0.923,8.7,0.084,0.98,6289.61
BSY,"Bentley Systems, Incorporated",software,0.106,0.85,0.956,15.6,0.529,0.949,5777.97
CDNS,"Cadence Design Systems, Inc.",software,0.096,0.861,0.957,15.8,0.255,0.846,6520.077
CHKP,Check Point Software Technologi,software,0.114,0.754,0.869,4.9,0.465,1.0,5421.166
CLBT,Cellebrite DI Ltd.,software,0.098,0.902,1.0,,0.253,0.0,5689.859
CORZ,"Core Scientific, Inc.",software,0.0,0.998,0.998,350.6,0.268,0.493,2948.904
CPAY,"Corpay, Inc.",software,0.11,0.83,0.94,11.2,0.088,0.978,6225.586
CRM,"Salesforce, Inc.",software,0.083,0.873,0.955,15.2,0.701,1.0,6518.628
CRWD,"CrowdStrike Holdings, Inc.",software,0.115,0.771,0.886,5.7,0.064,0.697,7679.271
CVLT,"Commvault Systems, Inc.",software,0.046,0.915,0.961,17.6,0.866,0.984,6416.648
DAVE,Dave Inc.,software,0.06,0.94,1.0,,0.0,0.0,6499.296
DBX,"Dropbox, Inc.",software,0.053,0.898,0.952,14.0,0.724,1.0,6357.728
DDOG,"Datadog, Inc.",software,0.107,0.863,0.97,22.5,0.664,0.967,7803.784
DLO,DLocal Limited,software,0.236,0.702,0.937,10.7,0.955,1.0,6285.4
DOCN,"DigitalOcean Holdings, Inc.",software,0.125,0.804,0.929,9.4,0.249,0.956,6669.015
DOCU,"DocuSign, Inc.",software,0.167,0.76,0.927,9.1,0.809,1.0,7657.113
DOX,Amdocs Limited,software,0.179,0.603,0.783,2.8,0.568,0.958,4891.13
DT,"Dynatrace, Inc.",software,0.027,0.971,0.997,257.4,0.825,0.952,6973.768
DUOL,"Duolingo, Inc.",software,0.071,0.858,0.929,9.4,0.246,0.999,6096.615
EEFT,"Euronet Worldwide, Inc.",software,0.171,0.744,0.916,7.9,0.748,1.0,6594.799
ESTC,Elastic N.V.,software,0.129,0.792,0.921,8.4,0.435,0.994,7791.726
FFIV,"F5, Inc.",software,0.099,0.844,0.943,11.9,0.487,0.953,5888.408
FICO,Fair Isaac Corporation,software,0.189,0.624,0.813,3.3,0.598,0.999,6549.939
FOUR,"Shift4 Payments, Inc.",software,0.104,0.868,0.972,24.1,0.26,0.853,7274.948
FROG,JFrog Ltd.,software,0.108,0.698,0.806,3.2,0.3,0.999,6789.194
FTNT,"Fortinet, Inc.",software,0.184,0.645,0.829,3.7,0.239,0.998,6817.799
GDDY,GoDaddy Inc.,software,0.078,0.884,0.962,18.1,0.591,0.996,6091.235
GEN,Gen Digital Inc.,software,0.169,0.45,0.62,1.4,0.891,0.996,5932.049
GTLB,GitLab Inc.,software,0.015,0.983,0.997,275.8,0.807,0.994,5988.934
GWRE,"Guidewire Software, Inc.",software,0.118,0.766,0.883,5.6,0.262,0.978,6371.47
HUBS,"HubSpot, Inc.",software,0.071,0.917,0.988,56.8,0.109,0.675,7582.925
IDCC,"InterDigital, Inc.",software,0.069,0.891,0.96,16.9,0.356,0.969,6162.577
INTU,Intuit Inc.,software,0.106,0.873,0.979,32.6,0.087,0.99,6351.171
IOT,Samsara Inc.,software,0.0,0.996,0.996,183.6,0.192,0.969,5525.36
KVYO,"Klaviyo, Inc. Series A",software,0.188,0.595,0.783,2.8,0.598,0.985,2907.022
LYFT,"Lyft, Inc.",software,0.091,0.775,0.866,4.8,0.619,1.0,8357.822
MANH,"Manhattan Associates, Inc.",software,0.076,0.874,0.95,13.5,0.429,1.0,6625.94
MDB,"MongoDB, Inc.",software,0.109,0.761,0.869,5.0,0.428,0.989,8175.592
MSFT,Microsoft Corporation,software,0.104,0.869,0.974,25.9,0.462,0.975,5695.992
MSTR,Strategy Inc,software,0.088,0.912,1.0,,0.006,0.352,9063.753
NET,"Cloudflare, Inc.",software,0.045,0.948,0.993,101.3,0.477,0.965,8251.115
NOW,"ServiceNow, Inc.",software,0.083,0.9,0.983,41.2,0.422,0.833,6857.172
NTAP,"NetApp, Inc.",software,0.148,0.757,0.906,7.0,0.734,0.978,6258.994
NTNX,"Nutanix, Inc.",software,0.019,0.962,0.981,37.0,0.271,0.999,7366.665
OKTA,"Okta, Inc.",software,0.168,0.733,0.901,6.6,0.418,0.998,7496.743
ORCL,Oracle Corporation,software,0.164,0.783,0.946,12.6,0.998,0.998,6097.673
PANW,"Palo Alto Networks, Inc.",software,0.117,0.694,0.811,3.3,0.659,0.987,6675.042
PATH,"UiPath, Inc.",software,0.034,0.948,0.982,39.2,0.65,1.0,6387.42
PAY,"Paymentus Holdings, Inc.",software,0.115,0.57,0.685,1.8,0.373,0.992,6081.284
PAYC,"Paycom Software, Inc.",software,0.177,0.725,0.902,6.7,0.523,1.0,7044.787
PAYX,"Paychex, Inc.",software,0.098,0.854,0.952,14.2,0.089,0.997,5367.981
PCOR,"Procore Technologies, Inc.",software,0.061,0.924,0.985,47.2,0.026,0.976,5693.065
PCTY,Paylocity Holding Corporation,software,0.12,0.843,0.964,18.8,0.699,0.329,6996.987
PEGA,Pegasystems Inc.,software,0.065,0.873,0.938,10.8,0.027,0.998,7112.766
PLTR,Palantir Technologies Inc.,software,0.06,0.914,0.974,26.0,0.02,0.998,7340.634
PTC,PTC Inc.,software,0.068,0.909,0.977,29.5,0.895,0.986,6083.834
QLYS,"Qualys, Inc.",software,0.105,0.796,0.901,6.6,0.957,0.99,6647.875
RBRK,"Rubrik, Inc.",software,0.039,0.814,0.853,4.3,0.632,0.998,2274.795
RELY,"Remitly Global, Inc.",software,0.0,0.996,0.996,183.4,0.589,1.0,5416.353
ROP,"Roper Technologies, Inc.",software,0.084,0.879,0.963,18.4,0.193,0.941,5038.418
S,"SentinelOne, Inc.",software,0.0,0.999,0.999,523.7,0.415,0.997,6150.029
SHOP,Shopify Inc.,software,0.089,0.887,0.977,29.2,0.57,0.967,8110.63
SNOW,Snowflake Inc.,software,0.022,0.977,0.999,520.7,0.329,1.0,6969.635
SNPS,"Synopsys, Inc.",software,0.09,0.863,0.953,14.4,0.931,1.0,6604.213
SSNC,"SS&C Technologies Holdings, Inc",software,0.116,0.841,0.957,15.8,0.338,0.946,5408.917
TEAM,Atlassian Corporation,software,0.025,0.974,0.998,439.9,0.688,0.996,7650.291
TENB,"Tenable Holdings, Inc.",software,0.031,0.956,0.987,54.4,0.04,0.987,7095.945
TOST,"Toast, Inc.",software,0.009,0.989,0.998,345.2,0.432,0.975,5757.868
TTAN,"ServiceTitan, Inc.",software,0.055,0.807,0.862,4.7,0.558,0.967,1251.132
TWLO,Twilio Inc.,software,0.069,0.916,0.986,47.7,0.675,0.953,7860.926
TYL,"Tyler Technologies, Inc.",software,0.112,0.855,0.967,20.6,0.173,0.905,5927.418
U,Unity Software Inc.,software,0.031,0.956,0.987,54.5,0.322,0.929,7654.529
UBER,"Uber Technologies, Inc.",software,0.094,0.859,0.954,14.6,0.899,0.904,7411.889
VRNS,"Varonis Systems, Inc.",software,0.165,0.745,0.91,7.3,0.888,1.0,7215.113
VRSN,"VeriSign, Inc.",software,0.127,0.786,0.913,7.6,0.008,0.931,5349.4
WDAY,"Workday, Inc.",software,0.042,0.949,0.991,73.5,0.574,0.998,6664.004
WEX,WEX Inc.,software,0.119,0.838,0.957,15.9,0.772,1.0,6663.172
XYZ,"Block, Inc.",software,0.086,0.886,0.973,25.1,0.215,0.897,8075.398
YOU,"Clear Secure, Inc.",software,0.0,0.995,0.995,138.0,0.883,0.984,5891.602
ZETA,Zeta Global Holdings Corp.,software,0.074,0.884,0.958,16.3,0.424,0.185,6425.998
ZM,"Zoom Communications, Inc.",software,0.025,0.973,0.998,319.5,0.481,0.962,7318.463
ZS,"Zscaler, Inc.",software,0.135,0.818,0.953,14.4,0.975,0.982,7597.514
ACLS,"Axcelis Technologies, Inc.",semiconductor,0.07,0.893,0.963,18.2,0.0,0.805,7899.108
ACMR,"ACM Research, Inc.",semiconductor,0.092,0.793,0.885,5.7,0.363,0.95,9049.754
ADI,"Analog Devices, Inc.",semiconductor,0.092,0.848,0.94,11.2,0.004,0.699,6333.113
AEHR,Aehr Test Systems,semiconductor,0.096,0.588,0.683,1.8,0.695,0.841,9419.641
AIP,"Arteris, Inc.",semiconductor,0.081,0.781,0.862,4.7,0.568,0.854,6116.32
ALAB,"Astera Labs, Inc.",semiconductor,0.0,0.9,0.9,6.6,0.752,0.968,2734.595
ALGM,"Allegro MicroSystems, Inc.",semiconductor,0.034,0.934,0.968,21.2,0.191,0.203,6504.522
ALMU,"Aeluma, Inc.",semiconductor,1.0,0.0,1.0,,0.084,0.996,4573.713
AMAT,"Applied Materials, Inc.",semiconductor,0.091,0.856,0.947,12.8,0.001,0.739,7247.664
AMBA,"Ambarella, Inc.",semiconductor,0.055,0.859,0.913,7.6,0.155,0.998,8030.912
AMD,"Advanced Micro Devices, Inc.",semiconductor,0.057,0.901,0.958,16.2,0.383,0.962,7732.696
AMKR,"Amkor Technology, Inc.",semiconductor,0.081,0.852,0.933,10.0,0.017,0.968,7634.556
AOSL,Alpha and Omega Semiconductor L,semiconductor,0.048,0.935,0.983,39.9,0.188,0.866,8349.938
ASYS,"Amtech Systems, Inc.",semiconductor,0.125,0.79,0.915,7.8,0.22,0.975,7928.236
ATOM,Atomera Incorporated,semiconductor,0.08,0.847,0.926,9.1,0.636,0.966,9414.275
AVGO,Broadcom Inc.,semiconductor,0.132,0.812,0.943,11.9,0.211,0.955,6797.386
AXTI,AXT Inc,semiconductor,0.045,0.929,0.974,25.8,0.516,1.0,8816.548
CAMT,Camtek Ltd.,semiconductor,0.052,0.899,0.951,13.7,0.227,0.985,7874.356
CEVA,"CEVA, Inc.",semiconductor,0.116,0.725,0.84,4.0,0.472,0.851,7618.941
COHU,"Cohu, Inc.",semiconductor,0.063,0.913,0.976,28.8,0.02,0.579,7575.299
CRDO,Credo Technology Group Holding ,semiconductor,0.136,0.653,0.789,2.9,0.673,1.0,5666.953
CRUS,"Cirrus Logic, Inc.",semiconductor,0.181,0.64,0.821,3.5,0.395,0.93,6711.96
DIOD,Diodes Incorporated,semiconductor,0.075,0.879,0.954,14.8,0.494,0.252,7260.243
ENTG,"Entegris, Inc.",semiconductor,0.068,0.894,0.962,18.1,0.009,0.854,7464.421
FORM,"FormFactor, Inc.",semiconductor,0.056,0.845,0.901,6.6,0.004,0.972,7682.061
GFS,GlobalFoundries Inc.,semiconductor,0.073,0.887,0.96,17.0,0.504,0.051,5171.882
GSIT,"GSI Technology, Inc.",semiconductor,0.132,0.851,0.983,39.4,0.971,1.0,8803.646
ICHR,Ichor Holdings,semiconductor,0.043,0.925,0.969,22.0,0.009,0.988,8218.542
INTC,Intel Corporation,semiconductor,0.07,0.905,0.975,27.6,0.256,0.995,7044.765
INTT,inTest Corporation,semiconductor,0.099,0.715,0.814,3.4,0.647,0.547,8089.18
IPGP,IPG Photonics Corporation,semiconductor,0.115,0.734,0.849,4.2,0.03,0.989,6916.66
KLAC,KLA Corporation,semiconductor,0.075,0.879,0.954,14.7,0.0,0.953,7174.487
KLIC,"Kulicke and Soffa Industries, I",semiconductor,0.106,0.837,0.943,11.8,0.61,0.004,7294.897
LASR,"nLIGHT, Inc.",semiconductor,0.141,0.775,0.916,7.9,0.069,0.979,8059.758
LRCX,Lam Research Corporation,semiconductor,0.078,0.889,0.967,20.4,0.0,0.097,7363.729
LSCC,Lattice Semiconductor Corporati,semiconductor,0.057,0.903,0.96,17.0,0.03,0.708,7790.811
MCHP,Microchip Technology Incorporat,semiconductor,0.092,0.851,0.943,11.8,0.501,0.192,7156.187
MPWR,"Monolithic Power Systems, Inc.",semiconductor,0.111,0.843,0.954,14.8,0.07,0.577,7643.464
MRAM,"Everspin Technologies, Inc.",semiconductor,0.025,0.97,0.995,134.1,0.314,1.0,8161.542
MRVL,"Marvell Technology, Inc.",semiconductor,0.085,0.864,0.949,13.2,0.229,0.999,7834.651
MTSI,MACOM Technology Solutions Hold,semiconductor,0.104,0.821,0.925,8.9,0.005,0.997,7284.34
MU,"Micron Technology, Inc.",semiconductor,0.064,0.915,0.979,33.1,0.014,0.845,7482.774
MXL,"MaxLinear, Inc",semiconductor,0.076,0.845,0.921,8.4,0.076,0.999,8276.613
NVDA,NVIDIA Corporation,semiconductor,0.091,0.879,0.969,22.3,0.208,0.996,7639.247
NVEC,NVE Corporation,semiconductor,0.05,0.835,0.885,5.7,0.062,0.963,6764.927
NVMI,Nova Ltd.,semiconductor,0.06,0.922,0.982,38.3,0.001,0.389,7241.831
NVTS,Navitas Semiconductor Corporati,semiconductor,0.118,0.782,0.901,6.6,0.896,1.0,6579.945
NXPI,NXP Semiconductors N.V.,semiconductor,0.106,0.844,0.95,13.4,0.004,0.287,6996.218
ON,ON Semiconductor Corporation,semiconductor,0.122,0.803,0.925,8.9,0.017,0.947,7763.959
ONTO,Onto Innovation Inc.,semiconductor,0.082,0.825,0.907,7.1,0.131,1.0,7783.346
PI,"Impinj, Inc.",semiconductor,0.022,0.931,0.953,14.5,0.084,1.0,8306.372
PLAB,"Photronics, Inc.",semiconductor,0.177,0.581,0.758,2.5,0.032,1.0,7360.285
POET,POET Technologies Inc.,semiconductor,0.247,0.728,0.976,28.3,0.664,0.986,8988.689
POWI,"Power Integrations, Inc.",semiconductor,0.093,0.819,0.912,7.5,0.005,0.025,7118.672
PXLW,"Pixelworks, Inc.",semiconductor,0.168,0.734,0.902,6.7,0.384,0.999,8706.469
QCOM,QUALCOMM Incorporated,semiconductor,0.073,0.898,0.972,24.3,0.295,0.878,6789.616
QRVO,"Qorvo, Inc.",semiconductor,0.14,0.772,0.913,7.6,0.003,1.0,6964.228
QUIK,QuickLogic Corporation,semiconductor,0.054,0.931,0.984,44.4,0.567,0.137,8619.107
RBCN,"Rubicon Technology, Inc.",semiconductor,0.291,0.709,1.0,,0.0,1.0,8128.692
RMBS,"Rambus, Inc.",semiconductor,0.076,0.9,0.977,29.3,0.237,0.992,7341.881
SCIA,"SCI Engineered Materials, Inc.",semiconductor,0.009,0.991,1.0,,0.0,0.0,8100.151
SITM,SiTime Corporation,semiconductor,0.066,0.855,0.921,8.5,0.57,0.991,8755.049
SKYT,"SkyWater Technology, Inc.",semiconductor,0.083,0.731,0.814,3.4,0.894,1.0,7308.593
SLAB,"Silicon Laboratories, Inc.",semiconductor,0.099,0.845,0.945,12.1,0.216,0.889,7295.188
SMTC,Semtech Corporation,semiconductor,0.06,0.911,0.971,23.4,0.135,0.89,7845.239
SWKS,"Skyworks Solutions, Inc.",semiconductor,0.181,0.679,0.86,4.6,0.005,0.998,6833.514
SYNA,Synaptics Incorporated,semiconductor,0.038,0.942,0.979,33.1,0.002,0.192,7664.916
TER,"Teradyne, Inc.",semiconductor,0.049,0.92,0.969,22.2,0.065,1.0,7313.377
TRT,Trio-Tech International,semiconductor,0.118,0.847,0.965,19.7,0.139,0.9,7986.978
TXN,Texas Instruments Incorporated,semiconductor,0.092,0.856,0.948,13.0,0.001,0.998,6116.069
UCTT,"Ultra Clean Holdings, Inc.",semiconductor,0.04,0.938,0.978,30.6,0.028,1.0,8049.664
VECO,Veeco Instruments Inc.,semiconductor,0.046,0.933,0.978,31.6,0.106,0.451,7266.971
VSH,"Vishay Intertechnology, Inc.",semiconductor,0.086,0.855,0.941,11.4,0.095,0.956,6705.135
