,company_name
SHOP,Shopify Inc.
UBER,"Uber Technologies, Inc."
CRM,"Salesforce, Inc."
NOW,"ServiceNow, Inc."
ADP,"Automatic Data Processing, Inc."
SNOW,Snowflake Inc.
CDNS,"Cadence Design Systems, Inc."
ADBE,Adobe Inc.
DDOG,"Datadog, Inc."
INTU,Intuit Inc.
ADSK,"Autodesk, Inc."
PAYX,"Paychex, Inc."
ROP,"Roper Technologies, Inc."
MSTR,Strategy Inc
WDAY,"Workday, Inc."
FICO,Fair Isaac Corporation
ZM,"Zoom Communications, Inc."
TEAM,Atlassian Corporation
BSP,Bending Spoons S.p.A.
SSNC,"SS&C Technologies Holdings, Inc"
PTC,PTC Inc.
QNT,Quantinuum Inc.
U,Unity Software Inc.
TYL,"Tyler Technologies, Inc."
DT,"Dynatrace, Inc."
GWRE,"Guidewire Software, Inc."
FIG,"Figma, Inc."
HUBS,"HubSpot, Inc."
FROG,JFrog Ltd.
DOCU,"DocuSign, Inc."
BSY,"Bentley Systems, Incorporated"
MANH,"Manhattan Associates, Inc."
CHYM,"Chime Financial, Inc."
CWAN,"Clearwater Analytics Holdings, "
PAYC,"Paycom Software, Inc."
TTAN,"ServiceTitan, Inc."
PCTY,Paylocity Holding Corporation
IDCC,"InterDigital, Inc."
PCOR,"Procore Technologies, Inc."
ESTC,Elastic N.V.
NAVN,"Navan, Inc."
CVLT,"Commvault Systems, Inc."
APPF,"AppFolio, Inc."
DUOL,"Duolingo, Inc."
LYFT,"Lyft, Inc."
YOU,"Clear Secure, Inc."
DAVE,Dave Inc.
KVYO,"Klaviyo, Inc. Series A"
OCTVV,Octave Intelligence plc
PEGA,Pegasystems Inc.
MSFT,Microsoft Corporation
ORCL,Oracle Corporation
PLTR,Palantir Technologies Inc.
PANW,"Palo Alto Networks, Inc."
CRWD,"CrowdStrike Holdings, Inc."
FTNT,"Fortinet, Inc."
NET,"Cloudflare, Inc."
SNPS,"Synopsys, Inc."
XYZ,"Block, Inc."
CRWV,"CoreWeave, Inc."
NTAP,"NetApp, Inc."
TWLO,Twilio Inc.
VRSN,"VeriSign, Inc."
OKTA,"Okta, Inc."
CPAY,"Corpay, Inc."
MDB,"MongoDB, Inc."
ZS,"Zscaler, Inc."
FFIV,"F5, Inc."
IOT,Samsara Inc.
TOST,"Toast, Inc."
AKAM,"Akamai Technologies, Inc."
GEN,Gen Digital Inc.
RBRK,"Rubrik, Inc."
NTNX,"Nutanix, Inc."
DOCN,"DigitalOcean Holdings, Inc."
CHKP,Check Point Software Technologi
GDDY,GoDaddy Inc.
SAIL,"SailPoint, Inc."
CORZ,"Core Scientific, Inc."
DBX,"Dropbox, Inc."
S,"SentinelOne, Inc."
WEX,WEX Inc.
MBGL,Mobility Global Inc.
ACIW,"ACI Worldwide, Inc."
PATH,"UiPath, Inc."
DOX,Amdocs Limited
VRNS,"Varonis Systems, Inc."
GTLB,GitLab Inc.
QLYS,"Qualys, Inc."
ZETA,Zeta Global Holdings Corp.
RELY,"Remitly Global, Inc."
NTSK,"Netskope, Inc."
DLO,DLocal Limited
BOX,"Box, Inc."
FOUR,"Shift4 Payments, Inc."
BLSH,Bullish
PAY,"Paymentus Holdings, Inc."
TENB,"Tenable Holdings, Inc."
CLBT,Cellebrite DI Ltd.
EEFT,"Euronet Worldwide, Inc."
NVDA,NVIDIA Corporation
AVGO,Broadcom Inc.
SKHY,SK hynix Inc.
MU,"Micron Technology, Inc."
AMD,"Advanced Micro Devices, Inc."
INTC,Intel Corporation
TXN,Texas Instruments Incorporated
ADI,"Analog Devices, Inc."
QCOM,QUALCOMM Incorporated
MRVL,"Marvell Technology, Inc."
NXPI,NXP Semiconductors N.V.
MPWR,"Monolithic Power Systems, Inc."
ALAB,"Astera Labs, Inc."
CBRS,Cerebras Systems Inc.
MCHP,Microchip Technology Incorporat
CRDO,Credo Technology Group Holding 
ON,ON Semiconductor Corporation
GFS,GlobalFoundries Inc.
MTSI,MACOM Technology Solutions Hold
LSCC,Lattice Semiconductor Corporati
SITM,SiTime Corporation
SMTC,Semtech Corporation
RMBS,"Rambus, Inc."
